,Tesseract,Ground_Truth
197,Clty,City
198,Supervlslon,Supervision
199,Clty,City
200,recognltlon,recognition
201,by,by
202,Dlvlslon,Division
203,a,a
204,Dlvlslon,Division
205,Chemlstry,Chemistry
206,a,a
207,Actlvltles,Activities
208,Commlttee,Committee
209,meetlng,meeting
210,partlclpate,participate
211,mm,with
212,ECIS,ECIS
213,Instltute,Institute
214,MCAS,MCAs
215,NSF,NSF
216,NSF,NSF
217,fundlng,funding
218,by,by
219,a,a
220,nternshp,internship
221,R,R
222,u,D
223,ndustry,industry
224,A,A
225,scrlptl,scriptions
226,s,Involved
227,a,a
228,by,by
229,M,M
230,F,F
231,consultlng,consulting
232,regardlng,regarding
233,Supervlslon,Supervision
234,technlcal,technical
235,subscrlblng,subscribing
236,Comnlttee,Comnittee
237,Fundlng,Funding
238,Consnltments,Consnitments
239,by,by
240,thlrteen,thirteen
241,thls,this
242,u,up
243,commltments,commitments
244,d,and
245,sclentlflc,scientific
246,thls,program
247,m,to
248,t,to
249,m,to
250,n,nature
251,tlmlng,This
252,pry,pri
253,subscrlblng,subscribing
254,a,be
255,by,by
256,MCAS,MCAs
257,Prlnclples,Principles
258,Appllcable,Applicable
259,ty,Safety
260,Commlttee,Committee
261,D,D
262,Atlvltles,Activities
263,Commlttee,Committee
264,m,to
265,By,By
266,affectlng,affecting
267,Commlttee,Committee
268,technlcal,technical
269,a,a
270,technlcal,technical
271,by,by
272,m,to
273,tn,to
274,Commlttees,Committees
275,actlvltles,activities
276,asslgnment,assignment
277,responslblllty,responsibility
278,m,to
279,condltlons,conditions
280,Commltte,Committee
281,flrst,first
282,establlshed,established
283,mm,mid
284,a,a
285,chemlsts,chemists
286,xpandlng,xpanding
287,ndustry,industry
288,I,II
289,blrth,birth
290,chemlsts,chemists
291,s,s
292,beglnnlng,beginning
293,chemlsts,chemists
294,mm,with
295,unsettllng,unsettling
296,Commlttee,Committee
297,stresslng,stressing
298,chemlsts,chemists
299,ndustry,industry
300,mm,with
301,a,a
302,mghly,highly
303,concernlng,concerning
304,reachlng,reaching
305,s,s
306,by,by
307,prestlglous,prestigious
308,Foundatlbn,Foundation
309,Sclentlflc,Scientific
310,Commlsslon,Commission
311,Varylng,varying
312,ranglng,ranging
313,predlctlon,prediction
314,m,to
315,Harnlngs,warnings
316,mm,with
317,changlng,changing
318,shlftlng,shifting
319,actlvltles,activities
320,thls,this
321,predlctlng,predicting
322,technlcal,technical
323,by,by
324,m,to
325,Hlth,with
326,chemlstry,chemistry
327,d,and
328,sclentlflc,scientific
329,A,As
330,I,I
331,mm,with
332,a,a
333,satlstlcal,statistical
334,analysls,analysis
335,thls,this
336,undrgraduate,undergraduate
337,chemlstry,chemistry
338,chemlstry,chemistry
339,flrst,first
340,a,a
341,hlgh,high
342,chemlstry,chemistry
343,flrst,first
344,chemlstry,chemistry
345,Statlstlcs,Statistics
346,Thlrd,Third
347,undrgraduate,undergraduate
348,decllnlng,declining
349,Slgnlflcanly,significantly
350,th,this
351,rapldlyidecllnlng,rapidlydeclining
352,sclentlflc,scientific
353,technlcal,technical
354,I,I
355,w,w
356,requlrlng,requiring
357,worklng,working
358,condltlons,conditions
359,predlctlon,prediction
360,thls,this
361,a,a
362,by,by
363,RD,RD
364,A,ift
365,actlvltles,activities
366,a,a
367,technlcal,technical
368,mm,With
369,thls,this
370,tendlng,tending
371,mendng,impending
372,crlsls,crisis
373,whlch,which
374,Slgmsk,signifi
375,posslbly,possibly
376,sequently,sequently
377,chemlstry,chemistry
378,technlcal,technical
379,ntenslfy,intensify
380,n,in
381,technlcallyiorlented,technicallyoriented
382,F,OF
383,coupmmm,CONFIDENCE
384,m,IN
385,nustry,industry
386,thls,is
387,a,a
388,promptly,promptly
389,Hlth,with
390,posltlve,positive
391,mm,with
392,Commlttee,Committee
393,organlzlng,organizing
394,a,a
395,Meanwhlle,Meanwhile
396,I,I
397,mm,with
398,plannlng,planning
399,ommssmns,commissions
400,accordlng,according
401,t,t
402,eondltl,eonditi
403,ntlng,nting
404,unerstandlng,understanding
405,ndustry,industry
406,chemlstry,chemistry
407,nterdcpllnary,interdisciplinary
408,mlsslon,mission
409,Hlth,with
410,actlvltles,activities
411,attalnlng,attaining
412,I,I
413,unerstandlng,understanding
414,asslgned,assigned
415,m,to
416,a,a
417,mlbcommlttee,mibcommittee
418,Concernlng,Concerning
419,nd,finds
420,chemlstry,chemistry
421,a,a
422,sclentlsts,scientists
423,mm,with
424,a,a
425,multlple,multiple
426,speclflc,specific
427,descrlbed,described
428,succlnctly,succinctly
429,skllls,skills
430,a,a
431,legltlmate,legitimate
432,openlngs,openings
433,thls,this
434,actlvlty,activity
435,condltlons,conditions
436,Subcommlttee,Subcommittee
437,mlght,might
438,subcommlttee,subcommittee
439,n,in
440,ndustry,industry
441,where,where
442,Consequently,Consequently
443,skllls,skills
444,admlnlstrators,administrators
445,A,A
446,dlstrlbuted,distributed
447,unwittlng,unwitting
448,subommlttee,subcommittee
449,chmlstry,chemistry
450,a,a
451,a,a
452,nd,and
453,chemlsts,chemists
454,partlclpants,participants
455,by,by
456,nvtatlon,invitation
457,by,by
458,nvtatlon,invitation
459,mm,with
460,prellmlnary,preliminary
461,plannlng,planning
462,a,a
463,whlch,which
464,whlch,which
465,outstandlng,outstanding
466,chemlstry,chemistry
467,englneerlng,engineering
468,r,r
469,rclplents,recipients
470,teachlng,teaching
471,a,a
472,a,a
473,flrst,first
474,VIT,VIT
475,s,S
476,contrlbuted,contributed
477,m,to
478,thls,this
479,dlmensln,dimension
480,A,As
481,a,a
482,nsttutlons,institutions
483,ntlate,initiate
484,tradltln,tradition
485,a,
486,ngh,High
487,SC,School
488,mm,with
489,admlnlstered,administered
490,by,by
491,Councllq,Councils
492,restrlcted,restricted
493,Hlthln,within
494,councll,council
495,v,US
496,ellglble,eligible
497,a,a
498,flrst,first
499,ntenslfled,intensified
500,mm,with
501,mm,with
502,chemlstry,is
503,a,a
504,publlshd,published
505,by,by
506,m,to
507,enrlch,enrich
508,hlgh,high
509,chemlstry,chemistry
510,slmllar,similar
511,m,to
512,thls,this
513,publlshes,publishes
514,enlistlng,enlisting
515,asslstlng,assisting
516,manuscrlpts,manuscripts
517,Wlnston,Winston
518,publlshed,published
519,thls,this
520,fundlng,funding
521,submltted,submitted
522,months,months
523,Chlnnan,chairman
524,commlttee,committee
525,contrlbutlons,contributions
526,chemlstry,chemistry
527,educatrs,educators
528,ntlated,initiated
529,thls,this
530,subcommlttee,subcommittee
531,mm,with
532,slmllar,similar
533,gr,gr
534,understandlng,understanding
535,a,a
536,negtve,negative
537,echmcallymnented,technicallyoriented
538,ndustry,industry
539,m,to
540,mm,with
541,a,a
542,mm,with
543,ndcates,indicates
544,a,a
545,sbcommlttee,subcommittee
546,Hlth,with
547,exhlblts,exhibits
548,c,f
549,sclnce,science
550,publlcs,publics
551,publlshed,published
552,a,a
553,slmple,simple
554,manuscrlpt,manuscript
555,MCAS,MCAs
556,exhlblt,exhibit
557,exhlblts,exhibits
558,v,US
559,slmllar,similar
560,Hlth,with
561,subcommlttees,subcommittees
562,presentlng,presenting
563,thls,this
564,mornlng,morning
565,thls,this
566,ndcates,indicates
567,prlnted,printed
568,mm,Film
569,Commlttee,Committee
570,Crltlclsm,criticism
571,whlch,which
572,restrlctlve,restrictive
573,n,n
574,brlngs,brings
575,my,my
576,I,I
577,Commlttee,Committee
578,MCA,MCA
579,a,a
580,hlghly,highly
581,dlsclpllnes,disciplines
582,glvlng,giving
583,a,a
584,I,say
585,a,a
586,a,a
587,prlvllege,privilege
588,mm,with
589,I,In
590,thls,this
591,I,I
592,hlghllghts,highlights
593,accompllshments,accomplishments
594,I,I
595,I,I
596,w,will
597,thls,this
598,I,I
599,A,A
600,carclnogenlclty,carcinogenicity
601,by,by
602,Plannlng,Planning
603,mg,ing
604,whlch,which
605,Hlth,with
606,testlng,testing
607,Accordlng,According
608,Hlth,with
609,whlch,which
610,contlngencles,contingencies
611,Fundlng,Funding
612,Fundlng,Funding
613,commltments,commitments
614,sufflclent,sufficient
615,publlcly,publicly
616,polyvlnyl,polyvinyl
617,Admlnlst,Administratively
618,m,to
619,c,be
620,ly,fully
621,dlsclosed,disclosed
622,restrlctlon,restriction
623,MCA,MCA
624,sclentlflc,scientific
625,nonicompetltlve,noncompetitive
626,exhlblt,exhibit
627,by,by
628,Wllllam,William
629,J,J
630,REFORMhearngs,REFORMhearings
631,m,to
632,Commlttees,Committees
633,orlty,ority
634,pry,pri
635,Admlnstratlon,Administration
636,offlclals,officials
637,ndcate,indicate
638,Admmsmr,Administra
639,H,will
640,mm,minimum
641,H,will
642,ls,if
643,a,a
644,m,to
645,by,by
646,Admlnlstratlon,Administration
647,leadershlp,leadership
648,H,will
649,pollcy,policy
650,ndcated,indicated
651,r,r
652,a,a
653,by,by
654,wlth,with
655,Commlsslon,Commission
656,classlflcatlon,classification
657,BCV,BCVs
658,clalmlng,claiming
659,a,a
660,slngle,single
661,Crltlclzd,Criticized
662,contendlng,contending
663,a,a
664,m,to
665,prescrlbe,prescribe
666,m,to
667,addltlonal,additional
668,Instltue,Institute
669,mm,lining
670,a,a
671,statltlcal,statistical
672,by,by
673,Instltutes,Institutes
674,speclflc,specific
675,thls,this
676,a,a
677,a,a
678,mlght,might
679,t,the
680,e,Office
681,egardlng,regarding
682,Commlttee,Committee
683,Toxlcclogy,Toxicology
684,thls,this
685,H,will
686,a,a
687,s,supplement
688,m,United
689,alcatlon,classification
690,materls,materials
691,t,t
692,ASDCIATIDNhas,ASSOCIATIONhas
693,m,to
694,Envlrnmental,Environmental
695,membershlp,membership
696,Standrds,Standards
697,Commlttee,Committee
698,th,the
699,n,has
700,Offlcs,Offices
701,draftlng,drafting
702,dlscharge,discharge
703,permlts,permits
704,cs,and
705,synthetlcs,and
706,wlth,with
707,H,will
708,a,a
709,establlshlng,establishing
710,ndvdual,individual
711,H,will
712,commrmgnas,COMMITTEEhas
713,establlshed,established
714,wlth,with
715,t,this
716,regardlng,regarding
717,dlscharge,permit
718,appllcatlons,and
719,a,a
720,m,to
721,dlscharges,discharges
722,A,A
723,CDMMITTEEtask,COMMITTEEtask
724,BLDCHAssoclate,BLOCHAssociate
725,a,a
726,catalysts,catalysts
727,MCAACS,MCAACS
728,Chemlstry,Chemistry
729,acqulsltlons,acquisitions
730,by,by
731,m,MCA
732,th,the
733,prlnted,printed
734,III,III
735,Meetlng,Meeting
736,by,by
737,mg,ing
738,brlng,bring
739,Commlttee,Committee
740,thls,this
741,reglstratlon,registration
742,by,by
743,a,a
744,nvolvng,involving
745,supplementlng,supplementing
746,testlng,testing
747,Exhlblt,Exhibit
748,A,A
749,by,by
750,cm,CMA
751,MOTION,MOTION
752,voTED,VOTED
753,A,A
754,C,c
755,Subcommlttee,Subcommittee
756,Studylng,Studying
757,m,to
758,by,by
759,subcommlttEE,subcommittee
760,whlch,which
761,B,B
762,MOTION,MOTION
763,voTED,VOTED
764,B,B
765,Hlth,with
766,meetlngs,meetings
767,subcommlttee,subcommittee
768,Commlttee,Committee
769,m,to
770,by,by
771,a,a
772,Commlttee,Committee
773,Exhlblt,Exhibit
774,by,by
775,Commlttee,Committee
776,MOTION,MOTION
777,voTED,VOTED
778,Commlttee,Committee
779,Exhlblt,Exhibit
780,E,e
781,Membershlp,Membership
782,Commlttee,Committee
783,Membershlp,Membership
784,Commlttee,Committee
785,appllcatlons,applications
786,Membershlp,Membership
787,Commlttee,Committee
788,appllcants,applicants
789,membershlp,membership
790,N,ON
791,MOTION,MOTION
792,voTED,VOTED
793,appllcants,applicants
794,membershlp,membership
795,cm,CMA
796,A,A
797,Vlnyl,Vinyl
798,testlng,testing
799,vmyl,vinyl
800,mm,with
801,supportlng,supporting
802,testlng,testing
803,scrlptlon,scription
804,antlclpated,anticipated
805,ranglng,ranging
806,a,a
807,mmmum,minimum
808,a,a
809,A,A
810,testlng,testing
811,cm,CMA
812,B,B
813,mmmcmnms,MANUFACTURING
814,AVENUE,AVENUE
815,N,N
816,WASHINGTON,WASHINGTON
817,Commlttee,Committee
818,R,R
819,thls,this
820,commlttee,committee
821,Commlttee,Committee
822,meetlng,meeting
823,Hlth,with
824,llmlted,limited
825,Washlngton,Washington
826,A,A
827,prellmlnary,preliminary
828,Commlttee,Committee
829,m,to
830,commlttee,committee
831,thls,this
832,a,a
833,flrst,first
834,by,by
835,Commlttee,Committee
836,Hlth,with
837,a,a
838,servlng,serving
839,commlttees,committees
840,Washlngton,Washington
841,m,to
842,a,a
843,m,to
844,commlttee,committee
845,MCAS,MCAs
846,actlvltles,activities
847,MCAS,MCAs
848,meetlngs,meetings
849,addltlonal,additional
850,technlcal,technical
851,commlttees,committees
852,a,a
853,actlvlty,activity
854,by,by
855,A,A
856,regardlng,regarding
857,crltlcal,critical
858,meetlngs,meetings
859,Washlngton,Washington
860,facllltate,facilitate
861,mm,with
862,A,A
863,CommlttEE,Committee
864,mm,with
865,addltlon,addition
866,actlvltles,activities
867,MCAl,MCA
868,a,a
869,commlttees,committees
870,whlch,which
871,a,a
872,beglns,begins
873,Commlttee,Committee
874,a,a
875,crltlcal,critical
876,ndcate,indicate
877,whlch,which
878,A,A
879,outllnlng,outlining
880,sollcltlng,soliciting
881,partlclpatlon,participation
882,Meetlngs,Meetings
883,meetlngs,meetings
884,by,by
885,mm,with
886,meetlngs,meetings
887,mm,with
888,whlch,which
889,meetlng,meeting
890,a,a
891,regardlng,regarding
892,meetlngs,meetings
893,meanlngful,meaningful
894,llmlted,limited
895,Provldlng,Providing
896,a,a
897,contrlbutlon,contribution
898,by,by
899,thls,this
900,partlclpatlon,participation
901,by,by
902,permltted,permitted
903,dlmlnlsh,diminish
904,Commlttee,Committee
905,flrst,first
906,MCAS,MCAs
907,provldlng,providing
908,Hlth,with
909,by,by
910,a,a
911,brlng,bring
912,m,to
913,technlcal,technical
914,pendlng,pending
915,commlttees,committees
916,accompllshments,accomplishments
917,Commlttees,Committees
918,a,a
919,Onsithlrd,Onethird
920,commlttees,committees
921,nvted,invited
922,meetlng,meeting
923,thls,this
924,plannlng,planning
925,Washlngton,Washington
926,meetlngs,meetings
927,meetlngs,meetings
928,crltlcal,critical
929,th,the
930,mm,With
931,meetlngs,meetings
932,tlvltles,activities
933,Actlvlty,Activity
934,stymled,stymied
935,by,by
936,by,by
937,a,a
938,try,try
939,y,to
940,m,a
941,a,decision
942,unanlmlty,is
943,A,A
944,m,MCA
945,Meetlngs,Meetings
946,Meetlng,Meeting
947,meetlng,meeting
948,actlvltles,activities
949,A,CMA
950,B,B
951,r,Hart
952,a,bill
953,blll,S
954,m,to
955,thls,this
956,n,in
957,hearlngs,hearings
958,ndustry,industry
959,mm,with
960,ndustry,industry
961,entre,entire
962,s,is
963,appearnor,appearnor
964,m,to
965,a,be
966,contlngencles,contingencies
967,Accordlngly,Accordingly
968,a,a
969,tr,try
970,Th,The
971,a,a
972,p,print
973,a,a
974,m,to
975,A,CMA
976,exhlblt,exhibit
977,by,by
978,Wllllam,William
979,J,J
980,v,V
981,b,b
982,mmsmmr,PRESIDENT
983,NIon,NIXON
984,n,in
985,hls,his
986,whlch,which
987,whlch,which
988,Speclflcally,Specifically
989,sharlng,sharing
990,addltlon,addition
991,m,to
992,stresslng,stressing
993,sendlng,sending
994,m,to
995,a,a
996,admlnlstratlve,administrative
997,ndcated,indicated
998,concernlng,concerning
999,A,A
1000,wlth,with
1001,m,to
1002,a,a
1003,nvolvng,involving
1004,a,a
1005,flnanclng,financing
1006,Admlnlstratlon,Administration
1007,studylng,studying
1008,a,a
1009,a,a
1010,cousngss,CONGRESS
1011,reconvened,reconvened
1012,H,will
1013,Slghts,Sights
1014,by,by
1015,H,will
1016,pestlcldes,pesticides
1017,b,bill
1018,prlnclple,principle
1019,by,by
1020,pestlclde,pesticide
1021,b,bill
1022,x,HR
1023,by,by
1024,Commlttee,Committee
1025,H,will
1026,cm,CMA
1027,by,by
1028,Subcommlttee,Subcommittee
1029,actlng,acting
1030,m,to
1031,thls,this
1032,a,a
1033,wlth,with
1034,by,by
1035,a,a
1036,transmltted,transmitted
1037,concernlng,concerning
1038,whlch,which
1039,deflnltlon,definition
1040,a,a
1041,certlflcatlon,certification
1042,a,a
1043,ncdent,incident
1044,certlflcatlon,certification
1045,H,will
1046,mlsslon,mission
1047,months,months
1048,x,HR
1049,whlch,which
1050,a,a
1051,Commlsslon,Commission
1052,by,by
1053,A,A
1054,concernlng,concerning
1055,thls,this
1056,x,HR
1057,ceasemandideslst,ceaseanddesist
1058,b,bill
1059,by,by
1060,CommlttEE,Committee
1061,ceasemandideslst,ceaseanddesist
1062,x,HR
1063,by,by
1064,Commlttee,Committee
1065,Subcommlttee,Subcommittee
1066,whlch,which
1067,cmnz,CMA
1068,strlke,strike
1069,submltted,submitted
1070,a,a
1071,m,to
1072,requestlng,requesting
1073,a,a
1074,mm,bill
1075,by,by
1076,RrDreJ,ROre
1077,RNY,RNY
1078,Commlttee,Committee
1079,hearlngs,hearings
1080,wlthln,within
1081,a,a
1082,a,a
1083,Arbltratlon,Arbitration
1084,strlke,strike
1085,permltted,permitted
1086,Arbltratlon,Arbitration
1087,strlkes,strikes
1088,ndustry,industry
1089,s,f
1090,llmlted,limited
1091,strlke,strike
1092,H,will
1093,dlfflcult,difficult
1094,antlistrlke,antistrike
1095,Admlnlstratlon,Administration
1096,m,to
1097,provldlng,providing
1098,a,a
1099,mm,bill
1100,restrlctlve,restrictive
1101,Pollcy,Policy
1102,commlttee,committee
1103,a,a
1104,mg,ing
1105,m,to
1106,whlch,which
1107,mlght,might
1108,by,by
1109,thls,this
1110,Commlttee,Committee
1111,whlch,which
1112,Admlnlsi,Adminis
1113,a,a
1114,hearlngs,hearings
1115,by,by
1116,Commlttees,Committees
1117,Subcommlttee,Subcommittee
1118,Commlttee,Committee
1119,wrlttentestmony,writtentestimony
1120,submltted,submitted
1121,A,A
1122,H,will
1123,wlth,with
1124,expandlng,expanding
1125,comrrmg,COMMITTEE
1126,whch,which
1127,establlshed,established
1128,flrst,first
1129,m,to
1130,by,by
1131,hls,his
1132,commlttee,committee
1133,ls,is
1134,by,by
1135,Wllllam,William
1136,Wllllams,Williams
1137,ls,is
1138,servlng,serving
1139,w,will
1140,hearlngs,hearings
1141,emlsslon,emission
1142,concernlng,concerning
1143,berylllum,beryllium
1144,Clty,City
1145,wlth,with
1146,EPAS,EPAs
1147,Admlnlstrator,Administrator
1148,emlsslon,emission
1149,exlstlng,existing
1150,whlch,which
1151,nd,finds
1152,m,to
1153,a,a
1154,emlsslons,emissions
1155,flrst,first
1156,H,will
1157,hls,his
1158,partlclpatlng,participating
1159,hearlngs,hearings
1160,whlch,which
1161,by,by
1162,Instltute,Institute
1163,emlsslons,emissions
1164,nltrlc,nitric
1165,by,by
1166,EPA,EPA
1167,wlth,with
1168,munlclpaltype,municipaltype
1169,ncnerators,incinerators
1170,submltted,submitted
1171,llttle,little
1172,a,a
1173,representlng,representing
1174,ndustrys,industrys
1175,capaclty,capacity
1176,emlsslons,emissions
1177,nvted,invited
1178,m,to
1179,m,to
1180,technlcal,technical
1181,llmlted,limited
1182,mg,ing
1183,whlch,which
1184,technlcal,technical
1185,speclallsts,specialists
1186,r,r
1187,cmmmc,CHEMTREC
1188,the,the
1189,mply,simply
1190,m,to
1191,conflrm,confirm
1192,cammms,CHEMTRECs
1193,A,A
1194,Slgnk,signi
1195,dwlndllng,dwindling
1196,asslgned,assigned
1197,Asslstance,Assistance
1198,ranglng,ranging
1199,m,to
1200,twoithlrds,twothirds
1201,ncdents,incidents
1202,nvolvng,involving
1203,cmmmc,CHEMTREC
1204,plannlng,planning
1205,antlclpated,anticipated
1206,thls,this
1207,H,will
1208,conflrms,confirms
1209,Valldlty,validity
1210,provldlng,providing
1211,shlppers,shippers
1212,s,f
1213,m,to
1214,cammm,CHEMTREC
1215,thls,this
1216,by,by
1217,cmmmc,CHEMTREC
1218,H,will
1219,by,by
1220,Franclscm,Francisco
1221,Counclls,Councils
1222,PHTHALATES,PHTHALATES
1223,partcularly,particularly
1224,plastlclzers,plasticizers
1225,plastlcs,plastics
1226,polyvlnyl,polyvinyl
1227,m,to
1228,by,by
1229,cm,CMA
1230,a,a
1231,a,a
1232,technlcal,technical
1233,m,to
1234,A,A
1235,thls,this
1236,t,t
1237,F,OF
1238,STANDARDS,STANDARDS
1239,has,has
1240,publlshed,published
1241,a,a
1242,Plastlcs,Plastics
1243,Standards,Standards
1244,plastlcs,plastics
1245,whlch,which
1246,v,US
1247,Prlntlng,Printing
1248,Washlngton,Washington
1249,Asslstant,Assistant
1250,m,to
1251,Dlvlslon,Division
1252,A,A
1253,H,wi
1254,cm,CMA
1255,A,A
1256,oncernlng,concerning
1257,Commlttee,Committee
1258,Membershlp,Membership
1259,a,On
1260,o,on
1261,thls,this
1262,commlttee,committee
1263,M,Mr
1264,Th,This
1265,reconflrmatlon,reconfirmation
1266,by,by
1267,m,to
1268,A,Air
1269,Commlttee,Committee
1270,cm,CMA
1271,A,Air
1272,Commlttee,Committee
1273,Membershlp,Membership
1274,Commlttee,Committee
1275,outstandlng,outstanding
1276,contrlbutor,contributor
1277,ts,its
1278,ntlatlve,initiative
1279,commlttee,committee
1280,membershlp,membership
1281,thls,this
1282,praiexlstlng,preexisting
1283,menlbershlp,menibership
1284,undlsturbed,undisturbed
1285,WinsDn,Winson
1286,a,a
1287,recognltlon,recognition
1288,tln,tinue
1289,a,in
1290,partlclpatlon,His
1291,ershlp,at
1292,thls,juncture
1293,settlng,setting
1294,a,a
1295,recognltlon,recognition
1296,Commlttee,Committee
1297,quallflcatlon,qualification
1298,D,D
1299,mm,BOARD
1300,mmmmmms,MANUFACTURING
1301,BARTON,BARTON
1302,Commlttees,Committees
1303,actlvltles,activities
1304,my,my
1305,I,I
1306,contrlbutlons,contributions
1307,Chemlsts,Chemists
1308,I,I
1309,descrlbed,described
1310,opportunlty,opportunity
1311,amendlng,amending
1312,actlvlty,activity
1313,enforclng,enforcing
1314,Actas,Actas
1315,dld,did
1316,a,a
1317,casesbut,casesbut
1318,emerglng,emerging
1319,llttle,little
1320,a,a
1321,opportunlty,opportunity
1322,fluenclng,fluencing
1323,strlngent,stringent
1324,ngm,rigid
1325,rlghts,rights
1326,crltlcal,critical
1327,deflnlng,defining
1328,slgnlflcant,significant
1329,arbltrary,arbitrary
1330,mm,with
1331,plannlng,planning
1332,a,a
1333,Hlth,with
1334,I,I
1335,Commlttee,Committee
1336,submltted,submitted
1337,amendmentsas,amendmentsas
1338,obtalnedbut,obtainedbut
1339,I,I
1340,Commltt,Committ
1341,dlllgence,diligence
1342,attemptlng,attempting
1343,m,to
1344,brlng,bring
1345,mm,islation
1346,r,r
1347,proceedlngs,proceedings
1348,whlch,which
1349,EPA,EPA
1350,Hlth,with
1351,j,j
1352,III,III
1353,emlsslons,emissions
1354,whlch,which
1355,constltute,constitute
1356,a,a
1357,provlslonto,provisionto
1358,emlsslons,emissions
1359,mlst,mist
1360,III,III
1361,a,a
1362,efflclency,efficiency
1363,Commlttees,Committees
1364,propenslty,propensity
1365,ndvdual,individual
1366,lltlgate,litigate
1367,waltlng,waiting
1368,by,by
1369,technlcal,technical
1370,I,I
1371,a,a
1372,hydrocarboniphotochemleal,hydrocarbonphotochemical
1373,lssueembryonc,issueembryonic
1374,February,February
1375,a,a
1376,publlshed,published
1377,EPA,EPA
1378,r,r
1379,emlsslons,emissions
1380,oxldantor,oxidantor
1381,smogfomng,smogforming
1382,tlghteniup,tightenup
1383,emlsslon,emission
1384,photochemlcallyireactlve,photochemicallyreactive
1385,mm,limits
1386,by,by
1387,EPAS,EPAs
1388,asslstance,assistance
1389,th,th
1390,y,y
1391,by,by
