,Tesseract,Ground_Truth,IS_error
434,chemlcal,chemical,False
435,1ndustry,industry,False
436,conslstntly,consistently,True
437,as,as,False
438,the,the,False
439,country's,country's,True
440,prlmary,primary,False
441,source,source,False
442,of,of,False
443,air,air,False
444,and,and,False
445,water,water,False
446,pollutlon.,pollution.,False
447,Faced,Faced,False
448,Hlth,with,True
449,these,these,False
450,condltlons.,"conditions,",True
451,the,the,False
452,communlcatlons,communications,False
453,commlttee's,committee's,True
454,objectlves,objectives,False
455,reflet,reflect,False
456,our,our,False
457,enthuslasm,enthusiasm,False
458,to,to,False
459,support,support,False
460,CHA'S,CHA's,True
461,advocacy,advocacy,False
462,efforts,efforts,False
463,and,and,False
464,the,the,False
465,upportunlty,opportunity,False
466,m,to,True
467,parlay,parlay,False
468,these,these,False
469,"efforts,","efforts,",False
470,where,where,False
471,"posslblE,","possible,",True
472,1nto,into,False
473,proved,improved,False
474,communlcatlons,communications,False
475,Hlth,with,True
476,the,the,False
477,publlc,public,False
478,at,at,False
479,large.,large.,False
480,Headlng,Heading,False
481,our,our,False
482,projct,project,False
483,115:,list,True
484,for,for,False
485,Is,Is,False
486,the,the,False
487,followup,followup,False
488,on,on,False
489,our,our,False
490,CAER,CAER,False
491,plant,plant,False
492,that,that,False
493,hasn',hasn't,False
494,yet,yet,False
495,conducted,conducted,False
496,a,a,True
497,CAER,CAER,False
498,communlcatlons,communications,False
499,"actlvlty,","activity,",True
500,we,we,False
501,want,want,False
502,to,to,False
503,61nd,find,False
504,t,it,True
505,and,and,False
506,get,get,False
507,1:,it,True
508,on,on,False
509,track,track,False
510,Hlth,with,True
511,the,the,False
512,rest,rest,False
513,of,of,False
514,the,the,False
515,1ndustry.,industry.,True
516,cm,CMA,True
517,CARR,CAER,False
518,has,has,False
519,been,been,False
520,TH,THE,True
521,leadershlp,leadership,True
522,effort,effort,False
523,for,for,False
524,the,the,False
525,chemlcal,chemical,False
526,1ndustry,industry,False
527,durlng,during,False
528,thls,this,True
529,decawe,decade,False
530,and,and,False
531,we,we,False
532,must,must,False
533,not,not,False
534,let,let,False
535,1:,it,True
536,Hither,wither,False
537,W,--,True
538,elther,either,False
539,1n,in,False
540,an,an,False
541,operatlng,operating,False
542,or,or,False
543,a,a,True
544,cnmmunlcatlons,communications,False
545,sense.,sense.,False
546,The,The,False
547,commlttee's,committee's,True
548,greatest,greatest,False
549,fear,fear,False
550,1:,is,True
551,that,that,False
552,our,our,False
553,plant,plant,False
554,people,people,False
555,will,will,False
556,become,become,False
557,complacent,complacent,False
558,about,about,False
559,CAER,CAER,False
560,opportunlty,opportunity,False
561,to,to,False
562,dal,deal,False
563,from,from,False
564,strength,strength,False
565,1n,in,False
566,conductlng,conducting,True
567,our,our,False
568,future,future,False
569,the,the,False
570,commlttee,committee,True
571,an,and,False
572,cm,CMA,True
573,staff,staff,False
574,are,are,False
575,bulldlng,building,True
576,on,on,False
577,CAER'S,CAER's,True
578,success,success,False
579,1n,in,False
580,tackllng,tackling,True
581,the,the,False
582,1nd,industry's,False
583,stry's,two,True
584,two,upcoming,False
585,upcomlng,communications,False
586,communlcatlons,hurdles,False
587,hurdles,—,False
588,Superfund.,Superfund.,False
589,In,In,False
590,the,the,False
591,air,air,False
592,toxlc,toxics,False
593,"area,","area,",False
594,a,a,True
595,survey,survey,False
596,of,of,False
597,the,the,False
598,commlttee,committee,True
599,found,found,False
600,that,that,False
601,most,most,False
602,of,of,False
603,the,the,False
604,companles,companies,False
605,1ntend,intend,False
606,to,to,False
607,treat,treat,False
608,thelr,their,False
609,alr,air,False
610,toxlcs,toxics,False
611,communlcatlons,communications,False
612,as,as,False
613,an,an,False
614,extenslon,extension,False
615,.5,of,True
616,the,the,False
617,CARR,CAER,False
618,program.,program.,False
619,some,some,False
620,communlcatl-ns,communications,True
621,barrlers,barriers,False
622,that,that,False
623,are,are,False
624,qulte,quite,False
625,dlfferent,different,False
626,from,from,False
627,our,our,False
628,CARR,CAER,False
629,effort.,effort.,False
630,For,For,False
631,one,one,False
632,"thlng,","thing,",True
633,c,chemical,True
634,emlcal,plants,False
635,plants,in,False
636,1n,a,False
637,communlty,community,False
638,usually,usually,False
639,produce,produce,False
640,wldely,widely,False
641,dlfferlng,differing,False
642,product,product,False
643,slates.,slates.,False
644,So,So,False
645,whlle,while,False
646,one,one,False
647,plant,plant,False
648,can,can,False
649,boast,boast,False
650,to,to,False
651,the,the,False
652,local,local,False
653,medla,media,False
654,.bout,about,False
655,1::,its,True
656,relatlvely,relatively,False
657,clean,clean,False
658,products,products,False
659,and,and,False
660,lack,lack,False
661,of,of,False
662,toxlc,toxic,False
663,alr,air,False
664,"emlssl-ns,","emissions,",True
665,a,a,True
666,nelghborlng,neighboring,False
667,plant,plant,False
668,manager,manager,False
669,may,may,False
670,have,have,False
671,a,a,True
672,devll,devil,False
673,emlsslons,emissions,True
674,of,of,False
675,ms,his,True
676,hlghlyitoxlc,highly-toxlc,True
677,products.,products.,False
678,Remember,Remember,False
679,too,too,False
680,that,that,False
681,most,most,False
682,of,of,False
683,these,these,False
684,same,same,False
685,pl-nts,plants,True
686,worked,worked,False
687,closely,closely,False
688,together,together,False
689,1n,in,False
690,1ntroduc1ng,introducing,False
691,the,the,False
692,CARR,CAER,False
693,program,program,False
694,t-,to,False
695,the,the,False
696,communlty.,community.,True
697,The,The,False
698,unified,unified,False
699,local,local,False
700,approach,approach,False
701,that,that,False
702,worked,worked,False
703,so,so,False
704,well,well,False
705,um,with,False
706,the,the,False
707,CAER,CAER,False
708,program,program,False
709,also,also,False
710,could,could,False
711,suffer,suffer,False
712,when,when,False
713,dlfferent,different,False
714,plants,plants,False
715,are,are,False
716,at,at,False
717,dlfferent,different,False
718,stages,stages,False
719,of,of,False
720,unplementlng,implementing,True
721,thelr,their,False
722,alr,air,False
723,toxlcs,toxics,False
724,progr.ms.,programs.,True
725,reluctant,reluctant,False
726,to,to,False
727,be,be,False
728,.5,as,True
729,aggresslve,aggressive,False
730,1n,in,False
731,promotlng,promoting,False
732,the,the,False
733,air,air,False
734,toxlcs,toxics,False
735,lssue,issue,False
736,In,In,False
737,overcomlng,overcoming,False
738,th-se,these,False
739,"concerns,","concerns,",False
740,the,the,False
741,communlcatlons,communications,False
742,"commlttee,","committee,",True
743,cm,CMA,True
744,"staff,","staff,",False
745,and,and,False
746,your,your,False
747,local,local,False
748,managers,managers,False
749,will,will,False
750,carry,carry,False
751,out,out,False
752,a,a,True
753,comprehenslve,comprehensive,False
754,and,and,False
755,alr,air,False
756,toxlcs,toxics,False
757,comm,communications,False
758,leatlons,workshop,False
759,workshop,—,False
760,earller,earlier,False
761,thls,this,True
762,month,month,False
763,1n,in,False
764,Houston.,Houston.,False
765,1:,It,True
766,was,was,False
767,all,well,False
768,attended.,"attended,",False
769,Includlng,Including,False
770,many,many,False
771,plant,plant,False
772,"managers,","managers,",False
773,cautlous,cautious,False
774,1n,in,False
775,our,our,False
776,.pproach,approach,False
777,to,to,False
778,thls,this,True
779,communlcatlons,communications,False
780,"program,","program,",False
781,and,and,False
782,I,I,True
783,hope,hope,False
784,you,you,False
785,agree,agree,False
786,nth,with,True
787,our,our,False
788,thlnklng.,thinking.,True
789,cm,CMA,True
790,w,W,True
791,also,also,False
792,plan,plan,False
793,to,to,False
794,lid,build,False
795,on,on,False
796,the,the,False
797,CAER,CAER,False
798,communlcatlons,communications,False
799,success,success,False
800,In,In,False
801,helplng,helping,True
802,local,local,False
803,pl.nt,plant,True
804,people,people,False
805,cope,cope,False
806,mm,with,True
807,the,the,False
808,Tltle,Title,False
809,III,III,True
810,provlslon,provision,False
811,of,of,False
812,Superfund.,Superfund.,False
813,Thes-,These,False
814,provlslons,provisions,False
815,Hill,will,False
816,requlre,require,False
817,your,your,False
818,plants,plants,False
819,to,to,False
820,make,make,False
821,more,more,False
822,1nfomatlo,information,False
823,avaliable,available,False
824,about,about,False
825,your,your,False
826,products,products,False
827,and,and,False
828,processes,processes,False
829,than,than,False
830,1nformatlon,information,False
831,tak.,taken,False
832,out,out,False
833,of,of,False
834,context.,context.,False
835,The,The,False
836,commlttee,committee,True
837,has,has,False
838,formed,formed,False
839,a,a,True
840,communlcatlons,communications,False
841,~11cy,policy,True
842,1n,in,False
843,thls,this,True
844,area.,area.,False
845,state,state,False
846,chemlcal,chemical,False
847,"""unclls",councils,True
848,1n,in,False
849,unprovlng,improving,False
850,thelr,their,False
851,communlcatlons,communications,False
852,capabllltles.,capabilities.,True
853,W-‘Ve,We've,True
854,already,already,False
855,have,have,False
856,made,made,False
857,1mportant,important,False
858,progress,progress,False
859,1n,in,False
860,more,more,False
861,states,states,False
862,1n,in,False
863,Ie,the,True
864,future.,future.,False
865,Th1:,This,False
866,state*leve,state-level,False
867,actlvlty,activity,True
868,becomes,becomes,False
869,more,more,False
870,unportant,important,False
871,when,when,False
872,you,you,False
873,reallze,realize,False
874,to,to,False
875,many,many,False
876,other,other,False
877,ates.,states.,False
878,The,The,False
879,CICs,CICs,True
880,so,so,False
881,far,far,False
882,have,have,False
883,been,been,False
884,receptlve,receptive,False
885,to,to,False
886,our,our,False
887,help,help,False
888,and,and,False
889,we,we,False
890,pla,plan,False
891,m,to,True
892,contlnue,continue,False
893,thls,this,True
894,partnershlp.,partnership.,True
895,followlng,following,False
896,up,up,False
897,on,on,False
898,CARR,CAER,False
899,"communlcatlons,","communications,",False
900,extendlng,extending,True
901,our,our,False
902,communlcatlons,communications,False
903,actlvltles,activities,True
904,m,to,True
905,c-Ver,cover,False
906,the,the,False
907,air,air,False
908,toxlcs,toxics,False
909,and,and,False
910,Tltle,Title,False
911,III,III,True
912,"iSSuES,","issues,",True
913,and,and,False
914,worklng,working,True
915,Hlth,with,True
916,th-,the,False
917,CICs.,CICs.,True
918,These,These,False
919,objectlves,objectives,False
920,are,are,False
921,1n,in,False
922,"addltlon,","addition,",True
923,of,of,False
924,"course,","course,",False
925,to,to,False
926,our,our,False
927,.ngomg,ongoing,False
928,work,work,False
929,mm,with,True
930,other,other,False
931,commlttees,committees,True
932,Hlthln,within,True
933,CMA,CMA,False
934,m,to,True
935,provlde,provide,False
936,communl-atlons,communications,False
937,counsel,counsel,False
938,and,and,False
939,hands*on,hands-on,False
940,help,help,False
941,as,as,False
942,requlred.,required.,False
943,The,The,False
944,commlttee,committee,True
945,f-els,feels,False
946,that,that,False
947,these,these,False
948,goals,goals,False
949,are,are,False
950,achlevable,achievable,False
951,Hlth,with,True
952,current,current,False
953,manpower,manpower,False
954,and,and,False
955,mm,with,True
956,current,current,False
957,resources.,resources.,False
958,I,I,True
959,would,would,False
960,llke,like,False
961,to,to,False
962,close,close,False
963,mm,with,True
964,a,a,True
965,comment,comment,False
966,that,that,False
967,doesn't,doesn't,False
968,fall,fall,False
969,readlly,readily,False
970,1nto,into,False
971,our,our,False
972,normal,normal,False
973,communlcatlons,communications,False
974,toplcs.,topics.,True
975,The,The,False
976,commlttee,committee,True
977,f-els,feels,False
978,that,that,False
979,we,we,False
980,should,should,False
981,be,be,False
982,wary,wary,False
983,of,of,False
984,the,the,False
985,recent,recent,False
986,attacks,attacks,False
987,on,on,False
988,the,the,False
989,scicalle,so-called,False
990,"""corpocracy""","""corpocracy""",False
991,of,of,False
992,major,major,False
993,v.5.,U.S.,True
994,companles.,companies.,False
995,Whlle,While,False
996,1t's,it's,False
997,too,too,False
998,early,early,False
999,.9,to,True
1000,call,call,False
1001,thls,this,True
1002,a,a,True
1003,major,major,False
1004,"trend,","trend,",False
1005,there,there,False
1006,are,are,False
1007,a,a,True
1008,lot,lot,False
1009,of,of,False
1010,people,people,False
1011,cut,cut,False
1012,thern,"there,",False
1013,Includlng,Including,False
1014,some,some,False
1015,1n,in,False
1016,the,the,False
1017,current,current,False
1018,"admlnlstratlon,","administration,",True
1019,who,who,False
1020,may,may,False
1021,well,well,False
1022,be,be,False
1023,taklng,taking,False
1024,shots,shots,False
1025,at,at,False
1026,v.5.,U.S.,True
1027,busmessmen.,businessmen.,False
1028,Executlves,Executives,False
1029,soul,could,False
1030,be,be,False
1031,blamed,blamed,False
1032,for,for,False
1033,everythlng,everything,True
1034,from,from,False
1035,worklng,working,True
1036,too,too,False
1037,hard,hard,False
1038,organlzatlons,organizations,False
1039,t,to,True
1040,sacrlflclng,sacrificing,True
1041,the,the,False
1042,bluedzollar,blue-collar,False
1043,worker's,worker's,False
1044,future,future,False
1045,for,for,False
1046,Along,Along,False
1047,these,these,False
1048,"lln-s,","lines,",True
1049,GM,GM,True
1050,may,may,False
1051,be,be,False
1052,the,the,False
1053,flrst,first,True
1054,company,company,False
1055,to,to,False
1056,enter,enter,False
1057,thls,this,True
1058,Capabilities,capabilities,False
1059,of,of,False
1060,those,those,False
1061,managlng,managing,False
1062,the,the,False
1063,glant,giant,False
1064,auto,auto,False
1065,company.,company.,False
1066,cm,CMA,True
1067,mule,While,False
1068,GM,GM,True
1069,may,may,False
1070,be,be,False
1071,the,the,False
1072,"flrst,","first,",True
1073,we,we,False
1074,shouldn't,shouldn't,True
1075,be,be,False
1076,fooled,fooled,False
1077,1nto,into,False
1078,thlnklng,thinking,True
1079,all,all,False
1080,have,have,False
1081,m,to,True
1082,Hath,watch,False
1083,Very,very,False
1084,closely.,closely.,False
1085,In,In,False
1086,concluslon.,"conclusion,",False
1087,saw,saw,False
1088,the,the,False
1089,chemlcal,chemical,False
1090,1ndustry's,industry's,True
1091,reputatlon,reputation,False
1092,mm,with,True
1093,the,the,False
1094,publlc,public,False
1095,1mprmve,improve,True
1096,for,for,False
1097,the,the,False
1098,flrst,first,True
1099,time,time,False
1100,1n,in,False
1101,several,several,False
1102,years.,years.,False
1103,Th1:,This,False
1104,uptlck,uptick,True
1105,dld,did,True
1106,not,not,False
1107,ome,come,False
1108,about,about,False
1109,by,by,True
1110,accldent.,accident.,False
1111,1:,It,True
1112,occurred,occurred,False
1113,because,because,False
1114,we,we,False
1115,operated,operated,False
1116,safely,"safely,",False
1117,moved,moved,False
1118,aggresslvely,aggressively,False
1119,to,to,False
1120,meet,meet,False
1121,the,the,False
1122,publlc's,public's,True
1123,legltlmate,legitimate,True
1124,conc-rns,concerns,True
1125,about,about,False
1126,our,our,False
1127,"operatlons,","operations,",False
1128,and,and,False
1129,took,took,False
1130,the,the,False
1131,tune,time,False
1132,to,to,False
1133,tell,tell,False
1134,people,people,False
1135,wha-,what,False
1136,we,we,False
1137,were,were,False
1138,dolng.,doing.,False
1139,Through,Through,False
1140,CARR,CAER,False
1141,an,and,False
1142,other,other,False
1143,programs,programs,False
1144,we,we,False
1145,showed,showed,False
1146,a,a,True
1147,lot,lot,False
1148,of,of,False
1149,confldence,confidence,False
1150,1n,in,False
1151,the,the,False
1152,Amerlcan,American,False
1153,pulls,public,False
1154,last,last,False
1155,year.,year.,False
1156,Maybe,Maybe,False
1157,they're,they're,False
1158,beglnnlng,beginning,True
1159,to,to,False
1160,return,return,False
1161,that,that,False
1162,confldence,confidence.,False
1163,I,I,True
1164,hope,hope,False
1165,so.,so.,False
1166,We,We,False
1167,look,look,False
1168,forward,forward,False
1169,to,to,False
1170,earnlng,earning,True
1171,your,your,False
1172,contlnued,continued,False
1173,support,support,False
1174,throughout,throughout,False
1175,1997.,1987.,True
1176,I,I,True
1177,Will,will,False
1178,be,be,False
1179,pleased,pleased,False
1180,to,to,False
1181,try,try,True
1182,to,to,False
1183,answer,answer,False
1184,any,any,False
1185,questlons,questions,False
1186,you,you,False
1187,mlght,might,True
1188,have,have,False
1189,about,about,False
1190,the,the,False
1191,ommunlcatlons,communications,False
1192,commlttee,committee,True
1193,and,and,False
1194,our,our,False
1195,plans.,plans.,False
1196,cm,CMA,True
1197,cm,CMA,True
1198,exhlblt,exhibit,True
1199,m,m,True
1200,"annum,","annum,",False
1201,report,report,False
1202,or,or,False
1203,THE,THE,False
1204,PATENT,PATENT,False
1205,AND,AND,False
1206,'ADEMARK,TRADEMARK,True
1207,COMMITTEE,COMMITTEE,False
1208,JANUARY,JANUARY,False
1209,"27,","27,",True
1210,EXECUTIVE,EXECUTIVE,False
1211,summy,SUMMARY,False
1212,"""the","""the",False
1213,"Commlttee""","Committee""),",True
1214,has,has,False
1215,been,been,False
1216,an,an,False
1217,1nstrumental,instrumental,True
1218,Volce,voice,False
1219,1n,in,False
1220,provldlng,providing,True
1221,1ndustry,industry,False
1222,pollcles,policies,False
1223,at,at,False
1224,horn,home,False
1225,and,and,False
1226,abroad.,abroad.,False
1227,The,The,False
1228,PATC,PATC,False
1229,has,has,False
1230,also,also,False
1231,advocated,advocated,False
1232,CMA,CMA,False
1233,posltlons,positions,False
1234,dlrectly,directly,False
1235,mm,with,True
1236,f-relgn,foreign,False
1237,"authorltles,","authorities,",False
1238,as,as,False
1239,"approprlate,","appropriate,",False
1240,and,and,False
1241,mm,with,True
1242,other,other,False
1243,domestlc,domestic,False
1244,Durlng,During,False
1245,the,the,False
1246,past,past,False
1247,"year,","year,",False
1248,"am,","CMA,",False
1249,through,through,False
1250,the,the,False
1251,"PATC,","PATC,",True
1252,has,has,False
1253,obtalned,obtained,False
1254,1ncreased,increased,False
1255,Visibility,visibility,False
1256,and,and,False
1257,aspect,respect,False
1258,1n,in,False
1259,the,the,False
1260,1ndustrlal,industrial,False
1261,property,property,False
1262,rlghts,rights,True
1263,area.,area.,False
1264,negotlatlons.,negotiations.,False
1265,patent,patent,False
1266,"pollcy,","policy,",True
1267,-nd,and,False
1268,amendments,amendments,False
1269,to,to,False
1270,Sectlon,Section,False
1271,of,of,False
1272,the,the,False
1273,Tarlff,Tariff,False
1274,Act,Act,False
1275,of,of,False
1276,"1930,","1930,",True
1277,as,as,False
1278,amended.,amended.,False
1279,In,In,False
1280,addltlon,addition,True
1281,to,to,False
1282,.dvocacy,advocacy,False
1283,efforts,efforts,False
1284,on,on,False
1285,"leglslatlon,","legislation,",False
1286,the,the,False
1287,Commlttee,Committee,True
1288,prepared,prepared,False
1289,Hrltte,written,True
1290,comments,comments,False
1291,for,for,False
1292,submlsslon,submission,True
1293,by,by,True
1294,cm,CMA,True
1295,on,on,False
1296,a,a,True
1297,number,number,False
1298,of,of,False
1299,regulatory,regulatory,False
1300,and,and,False
1301,1nternatlon-l,international,False
1302,lssues.,issues.,False
1303,1nvest1gatlons,investigations,False
1304,.nd,and,False
1305,1nfomatlonigather1ng,information-gathering,False
1306,actlvltles,activities,True
1307,on,on,False
1308,the,the,False
1309,1nternatlonal,international,False
1310,protectlon,protection,False
1311,of,of,False
1312,dustrlal,industrial,False
1313,property,property,False
1314,rlghts,rights,True
1315,and,and,False
1316,advlsed,advised,False
1317,the,the,False
1318,CMA,CMA,False
1319,Internatlonal,International,False
1320,Trade,Trade,False
1321,Commlttee,Committee,True
1322,on,on,False
1323,the,the,False
1324,approprlate,appropriate,False
1325,role,role,False
1326,of,of,False
1327,thls,this,True
1328,subject,subject,False
1329,1n,in,False
1330,the,the,False
1331,new,new,False
1332,Round,Round,False
1333,of,of,False
1334,Multllateral,Multilateral,False
1335,Tr.de,Trade,False
1336,Negotlatlons.,Negotiations.,False
1337,In,In,False
1338,all,all,False
1339,these,these,False
1340,"foums,","forums,",False
1341,the,the,False
1342,Commlttee,Committee,True
