,Tesseract,Ground_Truth
112,plastlcs,plastics
113,thls,this
114,ratlng,rating
115,encouraglng,encouraging
116,publlcs,publics
117,doghousn,doghouse
118,notlceably,noticeably
119,all,oil
120,1n,in
121,plae,place
122,n,to
123,mddle,middle
124,1ndustr1es,industries
125,unprovemen,improvement
126,posslble,possible
127,publlcs,publics
128,1mproved,improved
129,sllghtly,slightly
130,see,seem
131,reboundlng,rebounding
132,no,not
133,sllght,slight
134,unprovements,improvements
135,Hlth,with
136,lessemng,lessening
137,publlcs,publics
138,envlronment,environment
139,1ndustry,industry
140,envlronmenal,environmental
141,Very,very
142,thelr,their
143,prlorltles,priorities
144,poln,point
145,preferrlng,preferring
146,envlronment,environment
147,hlgher,higher
148,whn,when
149,Hlth,with
150,cholce,choice
151,1n,in
152,publlc,public
153,envlronment,environment
154,1mprov1ng,improving
155,publlc,public
156,contlues,continues
157,dlsposal,disposal
158,evlronmental,environmental
159,alts,cites
160,chemlcal,chemical
161,1ndustry,industry
162,conslstntly,consistently
163,prlmary,primary
164,pollutlon,pollution
165,Hlth,with
166,condltlons,conditions
167,communlcatlons,communications
168,commlttees,committees
169,objectlves,objectives
170,reflet,reflect
171,enthuslasm,enthusiasm
172,CHAS,CHAs
173,upportunlty,opportunity
174,m,to
175,Headlng,Heading
176,projct,project
177,communlcatlon,communication
178,aclevements,achievements
179,cm,CMA
180,hasn,hasnt
181,communlcatlons,communications
182,actlvlty,activity
183,61nd,find
184,t,it
185,Hlth,with
186,1ndustry,industry
187,cm,CMA
188,CARR,CAER
189,TH,THE
190,leadershlp,leadership
191,chemlcal,chemical
192,1ndustry,industry
193,durlng,during
194,thls,this
195,decawe,decade
196,Hither,wither
197,W,
198,elther,either
199,1n,in
200,operatlng,operating
201,cnmmunlcatlons,communications
202,commlttees,committees
203,mny,many
204,Values,values
205,opportunlty,opportunity
206,dal,deal
207,1n,in
208,conductlng,conducting
209,commlttee,committee
210,an,and
211,cm,CMA
212,bulldlng,building
213,CAERS,CAERs
214,1n,in
215,tackllng,tackling
216,1nd,industrys
217,strys,two
218,two,upcoming
219,upcomlng,communications
220,communlcatlons,hurdles
221,hurdles,
222,toxlc,toxics
223,commlttee,committee
224,companles,companies
225,1ntend,intend
226,thelr,their
227,alr,air
228,toxlcs,toxics
229,communlcatlons,communications
230,extenslon,extension
231,CARR,CAER
232,communlcatlns,communications
233,barrlers,barriers
234,qulte,quite
235,dlfferent,different
236,CARR,CAER
237,wldely,widely
238,dlfferlng,differing
239,whlle,while
240,medla,media
241,bout,about
242,relatlvely,relatively
243,toxlc,toxic
244,alr,air
245,emlsslns,emissions
246,nelghborlng,neighboring
247,devll,devil
248,emlsslons,emissions
249,ms,his
250,hlghlyitoxlc,highlytoxlc
251,plnts,plants
252,1n,in
253,1ntroduc1ng,introducing
254,CARR,CAER
255,t,to
256,communlty,community
257,um,with
258,dlfferent,different
259,dlfferent,different
260,unplementlng,implementing
261,thelr,their
262,alr,air
263,toxlcs,toxics
264,progrms,programs
265,aggresslve,aggressive
266,1n,in
267,promotlng,promoting
268,toxlcs,toxics
269,lssue,issue
270,Here,were
271,n,with
272,mm,CAER
273,Admlttlng,Admitting
274,m,to
275,chronlc,chronic
276,alr,air
277,emlslons,emissions
278,toxlc,toxic
279,chemlcals,chemicals
280,1n,in
281,case,cases
282,1n,in
283,posltlon,position
284,overcomlng,overcoming
285,thse,these
286,communlcatlons,communications
287,commlttee,committee
288,cm,CMA
289,comprehenslve,comprehensive
290,alr,air
291,toxlcs,toxics
292,comm,communications
293,leatlons,workshop
294,workshop,
295,earller,earlier
296,thls,this
297,1n,in
298,all,well
299,attended,attended
300,Includlng,Including
301,cautlous,cautious
302,1n,in
303,pproach,approach
304,thls,this
305,communlcatlons,communications
306,nth,with
307,thlnklng,thinking
308,cm,CMA
309,helplng,helping
310,plnt,plant
311,mm,with
312,Tltle,Title
313,provlslon,provision
314,Thes,These
315,provlslons,provisions
316,Hill,will
317,requlre,require
318,1nfomatlo,information
319,avaliable,available
320,avaliable,available
321,Will,will
322,1nformatlon,information
323,tak,taken
324,commlttee,committee
325,communlcatlons,communications
326,11cy,policy
327,1n,in
328,thls,this
329,flnal,final
330,bject1ve,objective
331,1n,in
332,contlnue,continue
333,chemlcal,chemical
334,unclls,councils
335,1n,in
336,unprovlng,improving
337,thelr,their
338,communlcatlons,communications
339,capabllltles,capabilities
340,WVe,Weve
341,1mportant,important
342,1n,in
343,1n,in
344,Ie,the
345,Th1,This
346,stateleve,statelevel
347,actlvlty,activity
348,unportant,important
349,reallze,realize
350,pla,plan
351,m,to
352,contlnue,continue
353,thls,this
354,partnershlp,partnership
355,followlng,following
356,CARR,CAER
357,communlcatlons,communications
358,extendlng,extending
359,communlcatlons,communications
360,actlvltles,activities
361,m,to
362,cVer,cover
363,toxlcs,toxics
364,Tltle,Title
365,iSSuES,issues
366,worklng,working
367,Hlth,with
368,th,the
369,objectlves,objectives
370,1n,in
371,addltlon,addition
372,ngomg,ongoing
373,mm,with
374,commlttees,committees
375,Hlthln,within
376,m,to
377,provlde,provide
378,communlatlons,communications
379,handson,handson
380,requlred,required
381,commlttee,committee
382,fels,feels
383,achlevable,achievable
384,Hlth,with
385,mm,with
386,llke,like
387,mm,with
388,readlly,readily
389,1nto,into
390,communlcatlons,communications
391,toplcs,topics
392,commlttee,committee
393,fels,feels
394,scicalle,socalled
395,v5,US
396,companles,companies
397,Whlle,While
398,1ts,its
399,thls,this
400,thern,there
401,Includlng,Including
402,1n,in
403,admlnlstratlon,administration
404,taklng,taking
405,v5,US
406,busmessmen,businessmen
407,Executlves,Executives
408,soul,could
409,everythlng,everything
410,worklng,working
411,organlzatlons,organizations
412,t,to
413,sacrlflclng,sacrificing
414,bluedzollar,bluecollar
415,llns,lines
416,flrst,first
417,thls,this
418,quagmlre,quagmire
419,ompanys,companys
420,perfomance,performance
421,Capabilities,capabilities
422,managlng,managing
423,glant,giant
424,cm,CMA
425,mule,While
426,flrst,first
427,1nto,into
428,thlnklng,thinking
429,publlcs,publics
430,atentlon,attention
431,Th1,This
432,m,to
433,Hath,watch
434,Very,very
435,concluslon,conclusion
436,chemlcal,chemical
437,1ndustrys,industrys
438,reputatlon,reputation
439,mm,with
440,publlc,public
441,1mprmve,improve
442,flrst,first
443,1n,in
444,Th1,This
445,uptlck,uptick
446,dld,did
447,ome,come
448,accldent,accident
449,safely,safely
450,aggresslvely,aggressively
451,publlcs,publics
452,legltlmate,legitimate
453,concrns,concerns
454,operatlons,operations
455,tune,time
456,wha,what
457,dolng,doing
458,CARR,CAER
459,an,and
460,confldence,confidence
461,1n,in
462,Amerlcan,American
463,pulls,public
464,beglnnlng,beginning
465,confldence,confidence
466,earnlng,earning
467,contlnued,continued
468,Will,will
469,questlons,questions
470,mlght,might
471,ommunlcatlons,communications
472,commlttee,committee
473,cm,CMA
474,cm,CMA
475,exhlblt,exhibit
476,ADEMARK,TRADEMARK
477,summy,SUMMARY
478,pollcles,policies
479,horn,home
480,posltlons,positions
481,dlrectly,directly
482,mm,with
483,frelgn,foreign
484,authorltles,authorities
485,approprlate,appropriate
486,mm,with
487,domestlc,domestic
488,Durlng,During
489,am,CMA
490,obtalned,obtained
491,1ncreased,increased
492,Visibility,visibility
493,aspect,respect
494,1n,in
495,1ndustrlal,industrial
496,rlghts,rights
497,negotlatlons,negotiations
498,cm,CMA
499,posltlons,positions
500,utlllzatlon,utilization
501,leglslatlon,legislation
502,pollcy,policy
503,nd,and
504,Sectlon,Section
505,Tarlff,Tariff
506,addltlon,addition
507,dvocacy,advocacy
508,leglslatlon,legislation
509,Commlttee,Committee
510,Hrltte,written
511,submlsslon,submission
512,cm,CMA
513,1nternatlonl,international
514,lssues,issues
515,Comnlttee,Comnittee
516,aso,also
517,partlclpated,participated
518,1n,in
519,Admlnlstratlons,Administrations
520,1nvest1gatlons,investigations
521,nd,and
522,1nfomatlonigather1ng,informationgathering
523,actlvltles,activities
524,1nternatlonal,international
525,Commlttee,Committee
526,approprlate,appropriate
527,thls,this
528,1n,in
529,Multllateral,Multilateral
530,Trde,Trade
531,Negotlatlons,Negotiations
532,foums,forums
533,Commlttee,Committee
534,1mortance,importance
535,protectlon,protection
536,v5,US
537,technologlcal,technological
538,avancement,advancement
539,contlnued,continued
540,economc,economic
541,productlvlty,productivity
542,1mportant,important
543,communlcatlons,communications
544,1n,in
545,1n,in
546,keeplng,keeping
547,CMAS,CMAs
548,mmber,member
549,companles,companies
550,apprlsed,apprised
551,1ndustrlal,industrial
552,rlghts,rights
553,lssues,issues
554,Commlttee,Committee
555,communlcated,communicated
556,mm,with
557,Dlrectors,Directors
558,mmber,member
559,companles,companies
560,lssues,issues
561,mechanlsms,mechanisms
562,Actlon,Action
563,Advlsorles,Advisories
564,cm,CMA
565,playlng,playing
566,thls,this
567,colmnunlcatlons,coimnunications
568,role,role
569,Commlttee,Committee
570,dlssemlnated,disseminated
571,1nformatlon,information
572,ember,member
573,companles,companies
574,1nfomed,informed
575,posltlons,positions
576,n,on
577,lssues,issues
578,Commlttee,Committee
579,1n,in
580,Flnally,Finally
581,ignlflcant,significant
582,Conmlttee,Conmittee
583,carrled,carried
584,technlcal,technical
585,leal,legal
586,ertten,Written
587,actlvltles,activities
588,carrled,carried
589,ommlttee,Committee
590,deslgnated,designated
591,representatlves,representatives
592,antlelpate,anticipate
593,cm,CMA
594,cm,CMA
595,EXHIBIT,EXHIBIT
596,Envlronmental,Environmental
597,Conmlttees,Conmittees
598,Ema,EMC
599,Mlnlmlzatlon,Minimization
600,descrlblng,describing
601,waste,vaste
602,mlnlmlzatlon,minimization
603,lssues,issues
604,1mportance,importance
605,posslble,possible
606,Dlrectors,Directors
607,meetlng,meeting
608,thls,this
609,revlew,review
610,m,to
611,obtaln,obtain
612,apprVal,approval
613,RCRA7,RCRA
614,requlre,require
615,companles,companies
616,establlsh,establish
617,Voluntary,voluntary
618,mlnlmlzatlon,minimization
619,crtlfy,certify
620,actlons,actions
621,1n,in
622,mlnlmlzatlon,minimization
623,enforts,efforts
624,bemg,being
625,scrutlnlzed,scrutinized
626,pemlts,permits
627,facllltls,facilities
628,Alternatlves,Alternatives
629,actlon,action
630,dlsussed,discussed
631,1n,in
632,Offlce,Office
633,Assssment,Assessment
634,Th1,This
635,gal,goal
636,1n,in
637,Varlous,various
638,achlevlng,achieving
639,dlscharge,discharge
640,opposltlon,opposition
641,51mm,siting
642,dlsposal,disposal
643,mlnlmlzatlon,minimization
644,pograms,programs
645,Will,will
646,1n,in
647,hearlngs,hearings
648,beglnnlng,beginning
649,1n,in
650,1ndustry,industry
651,sufflclent,sufficient
652,mendments,amendments
653,RCRAS,RCRAs
654,reauthorlzatlon,reauthorization
655,whlch,which
656,Scheduled,scheduled
657,1n,in
658,1nclude,include
659,undeslrable,undesirable
660,restrltlons,restrictions
661,outslde,outside
662,audlts,audits
663,Companles,Companies
664,lready,already
665,Hlth,with
666,1ncreaslng,increasing
667,waste,vaste
668,dlsposal,disposal
669,E,EPA
670,requlrements,requirements
671,nd,and
672,tlghtens,tightens
673,practlces,practices
674,Man,Many
675,companles,companies
676,slgnlflcantly,significantly
677,thelr,their
678,thls,this
679,owever,however
680,rellable,reliable
681,natlonal,national
682,1nustryw1de,industrywide
683,FAs,FPAs
684,mlnlmlzallon,minimization
685,llkely,likely
686,lssue,issue
687,1n,in
688,hearlngs,hearings
689,addltlon,addition
690,EA,EPA
691,commltted,committed
692,m,to
693,unprove,improve
694,mlnlmlzatlon,minimization
695,pograms,programs
696,1n,in
697,whlch,which
698,Congreslonal,Congressional
699,overslght,oversight
700,n,in
701,provlde,provide
702,asslstance,assistance
703,Alhough,Although
704,lssue,issue
705,Crisis,crisis
706,establlshlng,establishing
707,cm,CMA
708,Will,will
709,1n,in
710,cm,CMA
711,pnoposw,PROPOSED
712,MINIMIZATIDN,MINIMIZATION
713,woman,PROGRAM
714,oh,Ob
715,actlve,active
716,nform,Inform
717,asslse,assise
718,companles,companies
719,1n,in
720,reduclng,reducing
721,sourCE,source
722,1ncreaslng,increasing
723,reduclng,reducing
724,dlsposal,disposal
725,rlsks,risks
726,oneros,onerous
727,leglslatlon,legislation
728,reductlon,reduction
729,dlspoal,disposal
730,llablllty,liability
731,Psltlon,Position
732,Mlnlmlzatlon,Minimization
733,companls,companies
734,1n,in
735,1n,in
736,achleve,achieve
737,furthe,further
738,1nd1v1dual,individual
739,companles,companies
740,opportunltles,opportunities
741,hat,that
742,exlst,exist
743,1n,in
744,thelr,their
745,operatlons,operations
746,am,CMA
747,1nfom,inform
748,Actlvltles,Activities
749,1ndustry,industry
750,prgram,program
751,companles,companies
752,1n,in
753,developmg,developing
754,carrylng,carrying
755,mlnlmlzatlon,minimization
756,1e,ie
757,resurce,resource
758,program,program
759,Leglslatlve,Legislative
760,an,and
761,mlnlmlzatlon,minimization
762,lsues,issues
763,mlnlmlzatlon,minimization
764,1n,in
765,unlfom,uniform
766,deflnltlons,definitions
767,deflnltlon,definition
768,neds,needs
769,evaluatlon,evaluation
770,exlstlng,existing
771,Communlcatlons,Communications
772,1ndustry,industry
773,effectlvely,effectively
774,communlcate,communicate
775,contlnulng,continuing
776,b5157,basis
777,cm,CMA
778,prgrammatlc,programmatic
779,actlon,action
780,1e,ie
781,establlshlng,establishing
782,reductlon,reduction
783,goal,goals
784,slmllar,similar
785,m,to
786,CMAS,CMAs
787,conservatlon,conservation
788,,an
789,elr,eir
790,toxlcs,toxics
791,Hlth,with
792,detalled,detailed
793,luvplementatlo,implementation
794,ha,ba
795,consldered,considered
796,1n,in
797,xecutlve,Executive
798,Comlttee,Comittee
799,Dlrectors,Directors
800,basls,basis
801,cm,CMA
802,RESAHJKCE,RESHJKCE
803,NEE,NEEDS
804,th,the
805,actlvltles,activities
806,portlon,portion
807,professlonal,professional
808,rson,person
809,Will,will
810,quest,request
811,belng,being
812,Dutslde,Outside
813,Purchsed,Purchased
814,Servlces,Services
815,rcomended,recomended
816,ADK,A0K
817,fundlng,funding
818,outslde,outside
819,servlces,services
820,prt,part
821,thelr,their
822,Compan,Company
823,Approxlmately,Approximately
824,m,to
825,Volunteers,volunteers
826,thls,this
827,deslgn,design
828,unplementatlon,implementation
829,mcommmnm,RECOMMENDATION
830,recoasends,recoassends
831,unplementlng,implementing
832,mlnlmlzatlon,minimization
833,rogram,program
834,v11,VII
835,Rmvmm,REQUIRED
836,cm,CMA
837,cm,CMA
838,EXHIBIT,EXHIBIT
839,magma,FEDERAL
840,cnoumuwnmz,GROUNDWATER
841,LEGKSTATIDN,LEGSTATION
842,C1t12an5,Citi2ans
843,an,and
844,publlc,public
845,offlclals,officials
846,um,vitw
847,contamlnatlon,contamination
848,almed,aimed
849,a,at
850,commerclal,commercial
851,1ndustrlal,industrial
852,federl,federal
853,mus,bills
854,1ntroduced,introduced
855,1n,in
856,grounwater,groundwater
857,mu,bill
858,1n,in
859,Slmllar,Similar
860,mus,bills
861,Will,will
862,1ntroduced,introduced
863,1n,in
864,leglslatlon,legislation
865,unposa,imposa
866,restrlctlns,restrictions
867,pestlcldes,pesticides
868,requlre,require
869,addltlonal,additional
870,prtectlon,protection
871,remedlatlon,remediation
872,actlvltles,activities
873,1ntroduce,introduce
874,hve,have
875,enactlng,enacting
876,leglslatlon,legislation
877,unplementlng,implementing
878,roundwater,groundwater
879,establlsh,establish
880,star,water
881,restrlctlons,restrictions
882,plannlng,planning
883,declslons,decisions
884,Vlctlm,victim
885,compenatlon,compensation
886,51tespeclflc,sitespecific
887,whlch,which
888,in,be
889,tlmacost,timacost
890,consumlng,consuming
891,establlsh,establish
892,proosed,proposed
893,leglslatlve,legislative
894,leglslatlve,legislative
895,artlclpatlon,participation
896,1n,in
897,vsmg,Using
898,am,CMA
899,strlve,strive
900,m,to
901,1nfluence,influence
902,Congresslonal,Congressional
903,tha,that
904,leglslatlon,legislation
905,CMAS,CMAs
906,posltlon,position
907,posslble,possible
908,thls,this
909,cm,CMA
910,partlclpate,participate
911,actlvaly,activaly
912,1n,in
913,te,the
914,durlng,during
915,partlclatlon,participation
916,1n,in
917,emerglng,emerging
918,dlscusslons,discussions
919,ad,and
920,1dentlfy,identify
921,as,aa
922,1nvolved,involved
923,Slmary,Simary
924,CMAS,CMAs
925,Leglslatlon,Legislation
926,m,to
927,reslde,reside
928,Hit,with
929,comprehenslve,comprehensive
930,prgram,program
931,followlng,following
932,character,character
933,protsctlon,protsction
934,remedlatlon,remediation
935,monltorlng,monitoring
936,1nterstate,interstate
937,grundweter,groundweter
938,1mpacts,impacts
939,ms,This
940,asslstance,assistance
941,1nclude,include
942,fundlng,funding
943,technlcal,technical
944,Informatlon,Information
945,guldance,guidance
946,sclentlflcallyibased,scientificallybased
947,crlterla,criteria
948,tandards,standards
949,1n,in
950,maklng,making
951,protectlon,protection
952,remedlatln,remediation
953,declslons,decisions
954,Howsver,Howsver
955,1nvolvement,involvement
956,1nclude,include
957,alllty,ability
958,declslons,decisions
959,stats,state
960,approprlate,appropriate
961,wy,way
962,1mplement,implement
963,cm,CMA
964,Schdule,Schedule
965,H11,will
966,in,b
967,lssue,issue
968,1n,in
969,tha,that
970,actlve,active
971,Volce,voice
972,1n,in
973,debatE,debate
974,CMA5,CMAs
975,concpts,concepts
976,1n,in
977,Recoenendt,Recoenendat
978,lon,ion
979,rVlewed,reviewed
980,lglslatlon,legislation
981,CMAS,CMAs
982,leglslatlon,legislation
983,cm,CMA
984,cm,CMA
985,Concepts,Concepts
986,ederal,Federal
987,Leglslatlon,Legislatlon
988,Groundwter,Groundwater
989,stats,stata
990,shuld,should
991,Developman,Oevelopman
992,1mplementtlon,implementation
993,responslblllty,responsibility
994,feeral,federal
995,asslstance,assistance
996,avaliable,available
997,Fallure,Failure
998,,a
999,asslstance,assistance
1000,characterlze,characterize
1001,plannlng,planning
1002,approrlate,appropriate
1003,objectlves,objectives
1004,cntamlnatlon,contamination
1005,remedlatlon,remediation
1006,groundwate,groundwater
1007,monltorlng,monitoring
1008,1nterstate,interstate
1009,followln,following
1010,detalled,detailed
1011,descrlptlons,descriptions
1012,Iharacterlzatlon,Characterization
1013,out,oust
1014,establlsh,establish
1015,characterlze,characterize
1016,esouraes,resources
1017,plannlng,planning
1018,hould,should
1019,exlstlng,existing
1020,avaliable,available
1021,an,and
1022,feaslble,feasible
1023,shuld,should
1024,Hlth,with
1025,Unlted,United
1026,Geologlcal,Geological
1027,mscsy,USGS
1028,Unlted,United
1029,Envlronmental,Environmental
1030,Protectlon,Protection
1031,Aency,Agency
1032,mm,EPA
1033,guldance,guidance
1034,developmg,developing
1035,characterlzalon,characterization
1036,portlons,portions
1037,me,the
1038,determlnes,determines
1039,actlon,action
1040,s,is
1041,tune,time
1042,characterlzatlon,characterization
1043,dlvlde,divide
1044,goundwater,groundwater
1045,1nto,into
1046,Varlous,various
1047,categorles,categories
1048,whlch,which
1049,requlre,require
1050,dlffrent,different
1051,ijectlves,Objectives
1052,stats,stata
1053,mut,must
1054,establlsh,establish
1055,approprlate,appropriate
1056,objectlves,objectives
1057,Dbjectlves,Objectives
1058,aply,apply
1059,m,to
1060,1nd1v1dual,individual
1061,aqulfers,aquifers
1062,portlons,portions
1063,aqulfers,aquifers
1064,objecths,objectives
1065,1dentlfy,identify
1066,antlclpated,anticipated
1067,uture,future
1068,Hill,will
1069,prmtect,protect
1070,avallablllty,availability
1071,1dent11ed,identified
1072,usmg,using
1073,regulatlg,regulating
1074,drlnklng,drinking
1075,maxlmum,maximum
1076,Conbmlnant,contaminant
1077,MCL57,MCLs
1078,Drlnkln,Drinking
1079,shuld,should
1080,crlterla,criteria
1081,us,usa
1082,mus,This
1083,requlre,require
1084,a,e
1085,crltrla,criteria
1086,mut,must
1087,frum,from
1088,rotectlon,protection
1089,inlmlzlng,minimizing
1090,developlnw,developing
1091,program,program
1092,conslder,consider
1093,roundwater,groundwater
1094,developlnw,developing
1095,protectlon,protection
1096,1dentlfy,identify
1097,exlstlng,existing
1098,potentlal,potential
1099,ould,could
1100,1nclude,include
1101,approprlate,appropriate
1102,us,must
1103,coordlnated,coordinated
1104,mm,with
1105,exlstlng,existing
1106,onslstent,consistent
1107,mm,with
1108,exlstlng,existing
1109,provlslons,provisions
1110,concernlng,concerning
1111,aequate,adequate
1112,dlsposal,disposal
1113,capaclty,capacity
1114,ust,must
1115,Significant,significant
1116,contrls,controls
1117,unlformly,uniformly
1118,statewlde,statewide
1119,contrl,control
1120,requlrements,requirements
1121,approprlate,appropriate
1122,dlstlnctlons,distinctions
1123,dlfferent,different
1124,an,and
1125,speclflc,specific
1126,unlque,unique
1127,Protectlon,Protection
1128,nasures,measures
1129,1nto,into
1130,appllcable,applicable
1131,bject1ves,objectives
1132,protectlon,protection
1133,nasures,measures
1134,cm,CMA
1135,ljnplananta,ijnplanantad
1136,Voluntary,voluntary
1137,regulatlons,regulations
1138,ust,must
1139,1nclude,include
1140,authorlty,authority
1141,Iemedlatlon,Remediation
1142,remedlatlon,remediation
1143,remedlal,remedial
1144,objectlvesstandards,objectivesstandards
1145,appllcable,applicable
1146,tats,state
1147,1nclud1ng,including
1148,Significant,significant
1149,remedlal,remedial
1150,remedlalon,remediation
1151,1nclude,include
1152,authorlty,authority
1153,t,to
1154,remedlal,remedial
1155,requlrements,requirements
1156,Monltorlng,Monitoring
1157,rograms,Programs
1158,objectlves,objectives
1159,Provlde,Provide
1160,nfomatlon,information
1161,Provlde,Provide
1162,nfomatlon,information
1163,contamlnatlon,contamination
1164,1nclude,include
1165,3r,are
1166,sclentlflcally,scientifically
1167,Valld,valid
1168,sould,should
1169,Hlth,with
1170,Unlted,United
1171,Geologlcal,Geological
1172,PA,EPA
1173,guldance,guidance
1174,developlng,developing
1175,monltorlng,monitoring
1176,culd,could
1177,establlsh,establish
1178,1ncorporate,incorporates
1179,monltorlng,monitoring
1180,ystem,system
1181,1nclude,include
1182,1nformatlon,information
1183,1dentlf,identify
1184,quallty,quality
1185,quallty,quality
1186,cm,CMA
1187,I,I
1188,mpacts,Impacts
1189,1nterstate,interstate
1190,mpacts,impacts
1191,1nterstate,interstate
1192,approrlate,appropriate
1193,cm,CMA
1194,to,for
1195,leglslatlon,legislation
1196,Rol,Role
1197,1n,in
1198,funlng,funding
1199,avaliable,available
1200,1n,in
1201,developmg,developing
1202,helr,their
1203,ubmlts,submits
1204,1ncluds,includes
1205,requlred,required
1206,provlde,provide
1207,fundlng,funding
1208,1n,in
1209,unplementatlon,implementation
1210,substantlve,substantive
1211,he,the
1212,1ncludes,includes
1213,requlred,required
1214,components,componenta
1215,nd,and
1216,certlfles,certifies
1217,thelr,their
1218,compiles,complies
1219,mm,with
1220,sttutory,statutory
1221,requlrements,requirements
1222,U55,USGS
1223,developmg,developing
1224,provldlng,providing
1225,quallty,quality
1226,Criteria,criteria
1227,technlcal,technical
1228,Infomatlon,Information
1229,guldance,guidance
1230,lssues,issues
1231,cm,CMA
1232,cm,CMA
1233,EXHIBIT,EXHIBIT
1234,p,P
1235,MEDIES,REMEDIES
1236,communes,CONCERNING
1237,tre,trade
1238,authorlzes,authorizes
1239,Presldent,President
1240,restrlct,restrict
1241,1mports,imports
1242,malntalned,maintained
1243,hy,by
1244,Servlces,Services
1245,Admlnlstratlon,Administration
1246,Addltlons,Additions
1247,m,to
1248,hndled,handled
1249,rullng,ruling
1250,Within,within
1251,Presldent,President
1252,u,but
1253,deadllnes,deadlines
1254,exlst,exist
1255,Presldentlal,Presidential
1256,actlons,actions
1257,consldered,considered
1258,m,to
1259,chemlcals,chemicals
1260,elther,either
1261,chemlcal,chemical
1262,evertheless,Nevertheless
1263,belleve,believe
1264,petrochemlal,petrochemical
1265,1ndustr1es,industries
1266,contlnue,continue
1267,1n,in
1268,researchirlch,researchrich
1269,ausmg,causing
1270,v5,US
1271,addltlonal,additional
1272,chemlcal,chemical
1273,perochemlcals,petrochemicals
1274,Ihe,The
1275,cm,CMA
1276,Internatlonal,International
1277,Commlttee,Committee
1278,osltlons,positions
1279,whlch,which
1280,dlfferent,different
1281,exlstlng,existing
1282,tade,trade
1283,whlch,which
1284,am,CMA
1285,Either,either
1286,dlrectly,directly
1287,colltlons,coalitions
1288,durlng,during
1289,upcomlng,upcoming
1290,Congresslonal,Congressional
1291,dellberatlons,deliberations
1292,cm,CMA
1293,PDSITIIN,POSITION
1294,cm,CMA
1295,supporls,supports
1296,strengthenlng,strengthening
1297,Sectlon,Section
1298,Expanslon,Expansion
1299,at,Act
1300,followlng,following
1301,changes,chenges
1302,achleve,achieve
1303,thls,this
1304,31m,aim
1305,he,the
1306,perlod,period
1307,ectlon,Section
1308,he,the
1309,exlstlng,existing
1310,deadllnes,deadlines
1311,mpose,impose
1312,deadllnes,deadlines
1313,here,where
1314,exlst,exist
1315,whlch,which
1316,ad,and
1317,Presldent,President
1318,Sectlon,Section
1319,Requlre,Require
1320,ubllc,public
1321,dlsclosure,disclosure
1322,flnal,final
1323,actlons,actions
1324,petltlons,petitions
1325,posltlon,position
1326,cm,CMA
1327,cm,CMA
1328,TRADE,TRADE
1329,EMEDIES,REMEDIES
1330,communes,CONCERNING
1331,mummy,SECURITY
1332,La,Lav
1333,Sectlon,Section
1334,Expanslon,Expansion
1335,authorlzes,authorizes
1336,Presldent,President
1337,o,to
1338,restrlct,restrict
1339,unports,imports
1340,whlch,which
1341,natlonal,national
1342,securlty,security
1343,he,The
1344,requlres,requires
1345,begln,begin
1346,1mports,imports
1347,apartment,department
1348,1nterested,interested
1349,Volltlon,volition
1350,securlty,security
1351,a,he
1352,advlse,advise
1353,Presldent,President
1354,Hlthln,within
1355,1n1tlatlon,initiation
